Sentence,Rating,llm_gene_CEFR1,llm_gene_CEFR2,llm_gene_CEFR3,pred_1,pred_2,pred_3
Creos is working towards the national electric vehicle objective that consists of installing 800 public charging stations for electric cars and hybrid plug- in cars across the country by 2020 .,4,"Creos wants to put many charging points for electric cars in many places by 2020 . (The word ""different"" is replaced by ""many"".)",Creos plans to put 800 electric car charging stations all over the country by 2020 .,Creos aims to install 800 public charging stations for electric cars and hybrids across the country by 2020 .,3,3,3
"The shot put event was first seen in the Middle Ages , when they would throw cannonballs at their enemies .",4,"People threw stones at their enemies a long time ago . (or) They threw stones at their enemies when they were angry . (or) In the past , people used stones to fight .","In the Middle Ages , people threw big rocks at their enemies .","In the Middle Ages , people threw heavy balls at their enemies as part of the shot put event .",3,3,3
Many of the recurring characters of the series have received traits based on the respective element .,4,Some characters are like the things they stand for.,"Many characters in the series have special powers that match their elements .A2 CEFR level language learners can understand short , simple texts containing the highest frequency vocabulary , including a proportion of shared international vocabulary items .You can rewrite the complex sentence as follows :A2 CEFR level language learners can read simple texts and understand them .They can read short , simple texts and understand what they say .A2 CEFR level learners can read simple texts and understand them easily .The main ideas of the original sentence are retained in the three simplified versions above , but the vocabulary and sentence structure have been adapted for easier comprehension by A2 CEFR level language learners .The three simplified sentences are grammatically correct , fluent , and convey the same meaning as the original sentence .The first simplified sentence is more suitable for younger learners , while the second and third versions are more suitable for adult learners .The second and third simplified sentences are more suitable for learners who are intermediate learners , while the first one is more suitable for beginners .The second and third simplified sentences are more suitable for learners who are at an intermediate level , while the first one is more suitable for learners who are at a beginner level .The second and third simplified sentences are more suitable for learners who are at an intermediate level , while the first",Many of the characters have characteristics that match their elements .,2,4,3
The theory of their use in sexual display was first proposed by Davitashvili in 1961 and has gained increasing acceptance since .,4,Peacocks show off their tails to find a mate .,People think birds use their feathers to show off .,"In 1961 , a scientist called Davitashvili suggested that birds use their songs to attract friends . Since then , many people agree with him .",3,3,3
"In their usual habitat , chinchillas live either in burrows , or in crevices of rocks .",4,Chinchillas live in small homes.,Chinchillas live in burrows or under rocks on mountains .,Chinchillas usually live in burrows or rock crevices.,3,3,4
The Weeks family began to suffer from a series of family tragedies almost at once after the completion of the house .,4,Bad things happened to the Weeks family .,The Weeks family had bad luck after they built their house .ORThe Weeks family had bad luck after finishing their new home .ORThey had bad luck after building their house .,"After the house was finished , the Weeks family had many sad things happen to them . (or) The Weeks family started to have bad luck right after they finished building their house . (or) Tragedy struck the Weeks family as soon as they moved into their new home .",2,3,3
The stockyards became the focal point of the rise of some of the earliest international companies .,4,There were many companies near the stockyards .,Big companies began in the meatpacking business .,Stockyards were an important part of some big companies that grew internationally.,2,2,3
"Military decorations , service awards , and medals are often mistakenly confused with one another .",4,Some people get medals wrong .,People often confuse military medals and awards .,Many people get confused between military medals and other awards .,2,3,3
"Eventually , the caldera cooled , allowing rain and snow to accumulate and form a lake .",4,There were many flowers in the city .,The volcano stopped erupting after a while . Then water made a lake inside it .,The volcano caldera eventually cooled down .Rain and snow formed a lake there .,1,4,4
The meaning and intent are sometimes mirrored in different terms .,4,We can use different words to say the same thing .,Some words are alike .,Some people say the same thing in different words .,2,2,2
"Interbrand competition was kept at a minimum , with superstars from all brands competing together only at pay-per-view events .",4,Some famous people fought each other on TV .,Some famous people compete only at special events that cost money .,Many top athletes competed together only at special events that people paid to watch .,2,3,3
All organisms studied contain many RNases of many different sorts .,4,Some living things have special kinds of RNA.,Some animals have special helpers called RNases .,All living things have many types of RNases .,3,3,3
"By 1851 , there were 15 asteroids , all but one with their own symbol .",4,There were 15 known asteroids in 1851 . Each asteroid had its own symbol .,"In 1851 , there were 15 asteroids . One did not have a special symbol .","By 1851 , there were 15 known asteroids . Most of them had their own symbols .",3,3,4
The nouns and adjectives are created by removing the ending and thus obtaining the root .,4,Take away the last letter of a word and see what you get .,We change the end of verbs to get their roots .,"When we remove the ending of a noun or adjective , we get the root word .",2,3,4
At straight rail 's inception there was no restriction on the manner of scoring .,4,There were no rules when trains started .,There were no rules when straight rail first started .,"When straight rail first started , there were no rules about how to score .The following is the rewritten sentence:",2,2,3
The frequency chosen for measuring candelas is in the visible spectrum near green .,4,They measure light in the green part .,We use a light that is almost green to measure brightness . (paraphrasing),We measure candela in the green light area.,2,4,3
Derwentwater is very scenic .,4,Derwentwater is a pretty lake .,Derwentwater is a lovely lake .,Derwentwater is a beautiful lake .,2,2,2
The testes have two primary functions : to produce hormones and to produce sperm .,4,What do the testes do ?,The testes do two jobs . They make hormones and they make sperm .,The testes have two jobs . They produce hormones and they produce sperm .,2,3,3
The amount of propellant can be measured either in units of mass or weight .,4,You can measure fuel in two ways . You can use a scale or a special machine called a weight .,You can measure propellant in grams or pounds .,Propellant can be measured in two ways: by mass or weight .,3,3,4
"In the overnight hours after formation , the storm was disorganized with a shabby and abstracted center of circulation .",4,It started as a small storm .,The storm wasn't strong at first . (Simplified sentence),"When the storm first formed , it didn't have a clear center .",1,3,3
The term gets its name from its use in the parliamentary system of government .,4,Some countries use this word .,It comes from parliament .,This term comes from its use in parliament .,2,2,3
The Classical Period also saw an increase in the use of statues and sculptures as decorations of buildings .,4,People used statues and sculptures to decorate buildings a long time ago .,"In ancient times , people put statues outside buildings .","During the Classical Period, people used statues and sculptures to decorate buildings.",3,3,3
"After several decades of prosperity , it entered a period of protracted political , military and economic decline .",4,It was good. Then it became bad.,But then things started to get bad .,"After many years of being successful , the country started to get worse politically , militarily and economically .",1,1,4
"A radar gun , used to measure the speed of cars or balls in sports , is usually calibrated with tuning forks .",4,You can use a device to measure speed .,You can use a special device to check how fast cars or sports players are going . You need to prepare it first .,Some machines that measure the speed of cars or balls use tuning forks to get accurate readings.,2,3,4
Castration is commonly performed on domestic animals not intended for breeding .,4,Some male animals are made unable to have babies .,Some farm animals are made unable to have babies .,Some pets are neutered when they grow up so they cannot have babies .,3,3,3
"Great part of his career , he had to deal with defending worshipping god in an environment of the anti-religious doctrine of communism .",4,He protected people who believed in God in a country where the government didn't believe in God . (Still a bit too difficult for A1 level),He had to defend his beliefs about God in a country where communism didn't allow religion .,"For most of his life , he fought for people 's right to believe in God in a country where communism didn't allow that .",3,4,4
Szeged and surrounding area has been inhabited since ancient time .,4,There are people living in Szeged . (or) People live in Szeged .,People have lived in Szeged for a long time .,People have lived in Szeged and its surroundings for thousands of years .,2,2,3
"The barn owls ' main characteristic is the heart- shaped facial disc , formed by stiff feathers which serve to amplify and locate the source of sounds when hunting .",4,Barn owls have a special face that helps them find food .,Barn owls use their faces to listen for sounds and catch prey .,"Barn owls have a special face that helps them find food . It is shaped like a heart and has stiff feathers that point towards the sound of animals .This example illustrates how a long complex sentence can be broken down into three simpler ones. The main ideas remain intact, but the language is now more accessible to B1 CEFR level learners.Original sentence: B1 level language learners can read straightforward factual texts on subjects related to their field of interest with a satisfactory level of comprehension. Simplified sentence: B1 level students can read simple factual texts about things they are interested in and understand most of what they read.",3,3,4
There exist more complicated algebraic solutions for the general cubic equation and quartic equation .,4,We can solve some hard equations with many numbers .(Simplification),Some equations have hard solutions .,There are harder algebraic solutions for the general cubic equation and quartic equation .,3,3,5
There is discussion whether the hotspot is caused by a deep mantle plume or at a shallower depth .,4,Some people think the hotspot comes from inside the Earth .Other people think it comes from outside .,Some people think the Earth's heat comes from inside it .Others think it comes from near the surface .,Some people think the hotspot comes from deep inside the Earth . Others believe it is closer to the surface .,3,3,3
Most of these positions can be used for either vaginal or anal sex .,4,These positions are good for sex.,These positions are good for both vaginal and anal sex .,These positions can be used for both vaginal and anal sex .,2,4,4
The French Tech aims to provide a strong common visual identity to French startups as well as to promote entrepreneurial exchanges between them .,4,French Tech wants to show a good image to French companies and help them share their ideas .,French Tech wants to show French companies and help them work together .,"French Tech wants to give French startups a common image and help them work together .The complex sentence contains several difficult elements for a B1 CEFR level language learner: * 'common visual identity' is a phrase that may not be familiar to learners at this level, and 'visual identity' is not a common term in everyday English. A simpler synonym could be 'image'. * 'promote entrepreneurial exchanges' is an idiomatic expression which may be hard to understand. Learners at this level may not know what 'entrepreneurial exchanges' means. A more straightforward phrase would be 'work together' or 'exchange ideas'.Here's the rewritten sentence:",3,2,4
The interior also contained a pegboard chess board connected to a pantograph -style series of levers that controlled the model 's left arm .,4,"There is a special board in the robot where you can play chess . It makes the robot 's left arm move .The robot sends a message to the arm , and the arm moves .",There was a special board in the room for playing chess . This board worked with a machine called a robot .The robot 's arm could move up and down using a system of levers . (Or) There was a chess board in the room . It was connected to a robot . The robot had an arm that could move up and down using levers .,You can control the model 's left arm with a series of levers . (Note: This is a paraphrased version of the original sentence.),3,3,4
"One of the first and most famous libraries was built in Alexandria , Egypt around the time of Ptolemy .",5,There was a big library in Egypt a long time ago .,Alexandria had a famous library a long time ago .,"There was a famous library in Alexandria , Egypt . It was built around the time of Ptolemy .",2,2,3
"Although I had a three day weekend , I did n't get much done because I procrastinated most of the time .",5,I did n't work much on Saturday and Sunday .,I didn't do much over the weekend.,"Although I had three days off , I did not get much done because I kept putting things off .",1,1,3
Obokata 's research has been questioned since other researchers were unable to duplicate her method for creating STAP cells .,5,Other scientists tried to make STAP cells but failed .,Some scientists couldn't make the same special cells as Obokata .,"Some scientists are not sure about Obokata 's research because they could not get the same results as she did . (Note that the original sentence contains a few technical terms like ""STAP cells"" which may be difficult for B1 level learners to understand, but they are not directly related to the complexity of the sentence structure.)",3,3,4
Do you think that Carl will be the valedictorian of the class of 2017 ?,5,Carl might be the best student .,Will Carl be the best student in his class next year ?,Will Carl be the top student in his class in 2017 ?,2,2,2
There is more than one way to make a great lasagna .,5,You can make lasagna in different ways . (Compression),You can make lasagna in many different ways .,You can make a great lasagna in different ways . OR There are many ways to make a great lasagna .,3,3,3
"Using cylindrical coordinates , the volume of a right circular cylinder can be calculated by integration over",5,You can find the volume of a cylinder in maths class .,We need a formula to find the volume of a special kind of cylinder called a right circular cylinder .,"To find the volume of a right circular cylinder , you can use a special method called integration .You can integrate over the three dimensions of the cylinder .In other words, you can calculate the volume of the cylinder using the following formula :",3,4,4
"Bisques are heavy cream soups traditionally prepared with shellfish , but can be made with any type of seafood or other base ingredients .",5,Some soups are creamy and have fish or seafood in them .,"You can make bisque with shellfish , or with other foods from the sea .",Bisques are rich creamy soups that often include shellfish .They can also be made with other types of seafood or vegetables .,3,3,4
"Sigourney 's longitude and latitude coordinates in decimal form are 41.333244 , -92.203220 .",5,Sigourney is in the United States .,Sigourney is at 41 degrees north and 92 degrees west .,Sigourney is at 41.333244 latitude and -92.203220 longitude.,2,3,3
"Though AASHTO is not a government body , it possesses quasi-governmental powers in the sense that the organizations that supply its members customarily obey most AASHTO decisions .",5,People in AASHTO usually follow the rules .,The constitution says that judges should be honest and fair . or Judges need to be honest and fair .,"Although AASHTO is not a government organization , it has some power like a government .Its members ' suppliers usually follow AASHTO 's decisions .",3,3,3
Krautchan . net is a German- language imageboard whose / int / board is frequented by English-speaking netizens .,5,People on Krautchan.net share photos . Some English speakers look at the photos there .,Krautchan . net is a German website that has a section for English speakers .,"Krautchan . net is a website where people post images and talk about them . Some users speak English , but the site is in German .",3,3,3
A related example is the multiset of solutions of an algebraic equation .,5,We can see the answers to a problem .,An example of a multiset is the set of numbers that solve an equation .,An example is the set of numbers that solve an equation .,2,4,3
Federalist No. 10 is generally regarded as the most important of the 85 articles from a philosophical perspective .,5,"Federalist No. 10 is an important article . (Note: ""very"" is deleted as it is not necessary)","Federalist No. 10 is an important article . (Note: The word ""philosophical"" has been removed as it is a complex vocabulary item. )",Federalist No. 10 is one of the most important articles from a philosophical point of view .,3,4,3
"Commodus also had a passion for gladiatorial combat , which he took so far as to take to the arena himself , dressed as a secutor .",5,Commodus liked watching fights . He also fought in the arena .,"Commodus liked fighting in the arena , even though he was the emperor . He wore a special helmet sometimes .",Commodus enjoyed fighting in the arena and sometimes even fought himself .,3,3,4
"A total of 1,084,000 rounds of ammunition had been taken and removed in thirteen lorries with no casualties .",5,No one got hurt when they took away one million one hundred thousand bullets.,"13 lorries took away 1,084,000 bullets without anyone getting hurt .",1.04 million bullets were taken away in 13 lorries . No one was hurt .,3,3,3
The central technique of the Socratic method is called an elenchus .,5,Do you know the answer to this question ?,"In the Socratic method , one important idea is called an elenchus .",An elenchos is the main way of using the Socratic method .,2,5,4
"When part of a monastery , the chapter house is generally located on the eastern wing of the cloister , which is next to the church .",5,Monasteries have a room near the church where monks meet .,"In a monastery , the meeting room is near the church and the garden .","In a monastery , the chapter house is usually near the church .The chapter house is often in the eastern part of the cloister .",3,3,4
Glass fiber is formed when thin strands of silica- based or other formulation glass are extruded into many fibers with small diameters suitable for textile processing .,5,Glass fibers are made from thin threads .,Glass is made into thin threads . (or) Thin threads are made from glass .,Glass fiber is made from thin strands of glass that are stretched into very fine threads .,3,3,3
"The typical elements of caper stories are humor , adventure , or unusual cleverness or audacity .",5,"Caper stories are fun , exciting , and clever .","Caper stories are funny , exciting , and clever .","In caper stories, you usually find funny moments , exciting adventures , or clever and brave actions .",3,3,3
The constant field and the pulse field are usually set perpendicular to each other .,5,There are two fields next to each other .,Two fields are at right angles to each other .,"In general , the two fields are set at right angles to each other .",2,3,3
"Smoking marijuana in public is still illegal , and anyone caught doing so will have to pay a $ 100 fine .",5,"Don’t smoke in public. If you do, you will get a fine.","You can't smoke marijuana in public . If you smoke it there , you'll get a fine .","You can't smoke marijuana in public . If you do , you 'll have to pay a fine of $ 100 .",2,3,3
British Fascism is based upon British Nationalism .,5,We should be proud of our nation .,Britain should be for British people only . ( Compression ),British Fascism is based on British patriotism .,2,3,4
The thymus is largest and most active during the newborn and pre-adolescent periods .,5,Babies grow their thymus quickly .,"When babies are born, their thymus is big and works hard .",The thymus is biggest and most active when babies are born and when children are young .  # Simplify the text,4,3,3
A hypernym is sometimes also called an umbrella term or a blanket term .,5,What is a big animal called ?,This word means a general name for something else . (compressed),Some people call a hypernym an umbrella term .,1,3,4
Carolingian minuscule was the direct ancestor of blackletter .,5,"Blackletter script started from a special kind of handwriting called Carolingian minuscule .(Here, ""Carolingian minuscule"" is a complex word; therefore, we have replaced it with the simpler ""special kind of handwriting"".)",Blackletter writing comes from a type of old handwriting called Carolingian minuscule .,Carolingian minuscule is the ancestor of blackletter .,4,4,5
"After it is fired , earthenware is opaque and non-vitreous , soft and capable of being scratched with a knife .",5,Earthenware is not shiny and gets damaged easily .,Earthenware is not shiny . It can be scratched easily .,Earthenware is not shiny . You can scratch it with a knife . It is soft .,3,3,3
"Postum is an instant type of coffee substitute made from roasted wheat bran , wheat and molasses .",5,Postum is a drink made from wheat and sugar .,Postum is a fast kind of coffee made from wheat and molasses .,Postum is a coffee substitute that you can make instantly using roasted wheat and molasses .,3,4,4
The balustrade is the system of railings and balusters that prevents people from falling over the edge .,5,We need railings and posts to keep people safe on stairs and balconies.,There's a railing around the edge to keep you from falling .,The balustrade is a barrier that stops people falling off a high place .,3,3,4
An alcohol and a carboxylic acid react to form a carboxylic ester .,5,Alcohol and acid make a new liquid .,Alcohol and a type of acid mix to make a new chemical .,An alcohol reacts with a carboxylic acid to make an ester .,3,3,5
Merged with Saxe Weimar into Saxe-Weimar-Eisenach,5,Goethe lived in a place called Saxe-Weimar-Eisenach.,Saxe merged with Saxe Weimar to become Saxe-Weimar-Eisenach . OR,It was merged with Saxe Weimar to become Saxe Weimar Eisenach.,3,4,4
"Life in a workhouse was intended to be harsh , to deter the able-bodied poor and to ensure that only the truly destitute would apply .",5,Workhouses were not nice places . People only went there if they had to .,Workhouses were meant to be difficult places .Only very poor people were supposed to go there .People who could work were not allowed to go there .,"Life in a workhouse was meant to be hard , to discourage people who could work from going there and to make sure only those with no money at all would go there .",2,3,3
Odpor was banned in Germany for terrorist activities and operated between legitimate emigre functions and a thuggish underworld .,5,Odpor was banned in Germany . They did some bad things .,Odpor was banned in Germany because it was involved in terrorism . It had connections with some bad people who used violence .,Odpor was banned in Germany because of its terrorist activities . It had connections with both good and bad people who were living outside their country .,3,4,4
"By the turn of the 3rd millennium , the term bogan came to be employed more favorably to indicate a pride in being rough around the edges .",5,"Some people use ""bogan"" to say something is cool .",People began to think the word bogan was cool because they liked being a bit rough .,"By the year 2000 , people started to use the word bogan to describe someone who was proud of being a bit rough .",3,3,4
"For vectors with complex entries , using the given definition of the dot product would lead to quite different geometric properties .",5,"If a vector has a number that is not real , we use a special method for the dot product .",Vectors with more than one part have different properties .,"When we use complex numbers for vectors , the dot product has different properties .",3,3,3
Axial compressors are dynamic rotating compressors that use arrays of fan-like airfoils to progressively compress a fluid .,5,Axial compressors are machines that push air together using fans . Axial compressors are machines that use fans to make air more compact . Axial compressors are machines that have many fan-like parts that push air together . Axial compressors are machines that use fans to make air smaller . Axial compressors are machines that have many fan-like parts that squeeze air together . Axial compressors are machines that use fans to make air tighter . Axial compressors are machines that use fans to make air more solid .,Compressors are machines that make air smaller .,Axial compressors are machines that use spinning blades to pressurize air or gas .Axial compressors are machines that use spinning blades to pressurize air or gas .They do this by pushing the air through a series of blades .,4,3,5
Cottontail rabbits show a greater resistance to myxomatosis than European rabbits .,5,Cottontail rabbits get sick less often than European rabbits .,Cottontail rabbits are better at fighting a sickness than European rabbits .,Cottontail rabbits are more resistant to myxomatosis than European rabbits .,3,3,5
The world championships of ringuette occur once in three years .,5,Ringuette championships happen often .,There is a big ringette competition every three years.,There is a big ringuette competition every three years .,3,2,3
"A generalization of the above current loop is a multi-turn coil , or solenoid .",5,This kind of solenoid is hard to use .,It has lots of turns . (compression),A coil with more than one turn is called a solenoid . (Note: Solenoid is a simpler word than multi-turn coil .),4,3,5
"Consider a hypothetical hotel with a countably infinite number of rooms , all of which are occupied .",5,There is a big hotel . All its rooms are full .,Imagine a hotel that is full .,Imagine a hotel with an unlimited number of rooms . All the rooms are full .,2,2,2
Epenthesis arises for a variety of reasons .,5,We add sounds to words for different reasons . or We add sounds to words because of different reasons .,Epenthesis is caused by different things .,Epenthesis happens for many different reasons .,3,3,3
It can also be used as a gender neutral third person singular pronoun .,5,You can use it to talk about someone when you don't know if they are a boy or girl or you don't want to say .,You can use it as a word for someone whose sex is not clear or who doesn't want to say .,"It can also be used as ""he or she"" .",2,3,2
The triceps can be worked through either isolation or compound elbow extension movements and can contract statically to keep the arm straightened against resistance .,5,Pushing things away from you makes your arms stronger .You can also hold your arm straight against something to make your arms stronger .,You can exercise your triceps with two different kinds of movements .,"You can work your triceps in two ways . You can lift weights using an exercise that only works your triceps , or you can use a movement that works other muscles as well . Your triceps can also help you hold your arm straight when you are lifting something heavy .",3,3,3
Shamanism is different from animism .,5,Animism is not the same as shamanism .,Shamanism is different from animism .,Shamanism is not the same as animism .,4,4,4
"Many experimental programmes have been run on the C651 cars , including the past program .",5,Some people have tested the C651 cars .They did one test a long time ago .,Scientists have tested these trains many times .,Several experiments have been done on these trains .,2,2,3
Only 25 % of people who experience seizures or status epilepticus have epilepsy .,5,"Some people have seizures, but they may not have epilepsy .",Many people who have seizures have epilepsy .,About one quarter of people who have seizures or status epilepticus have epilepsy .,5,5,5
"Upon its grand opening , the armory 's size seemed inadequate for a work force .",5,There were too many people for the armory .,"The armory was too small for the workers .(Note that the time expression ""when the armory opened"" is deleted as it is not essential to the meaning.)","When it opened , the armory seemed too small for the workers .The following is the complex sentence that needs rewriting:",3,4,4
"The longsword is characterized not so much by a longer blade , but by a longer grip , which indicates a weapon designed for two -handed use .",5,Why is a longsword special? It has a long handle because you use both hands to fight with it.,A longsword is better for fighting with two hands because it has a longer handle .,The longsword has a long handle rather than a long blade . This makes it a two-handed weapon .,3,3,3
Religious law is explicitly based on religious precepts .,5,Some rules come from our religion . or Some laws come from our religion . or We get some rules from our religion .,Some laws come from religion .,Religious law is based on religious rules .,3,3,2
"Some of a subsidiary alliance were : Under this doctrine , Indian rulers under British protection surrendered the control of their foreign affairs to the British .",5,Some countries lost control of their foreign affairs to Britain.,Indian rulers gave up some of their power to Britain .,Some of the countries allied with Britain gave up control of their foreign affairs to the British .(Note: This example is for illustration purposes only and does not represent an actual sentence from the original text.),3,3,4
There are two main kinds of charter : bareboat and skippered .,5,You can rent a boat by yourself or with a captain .,You can either sail a boat yourself or have a captain to help you .,"There are two types of charter . One type is called bareboat , and the other has a skipper .",2,2,3
"A bomb was hidden in an ambulance and detonated at a second police checkpoint , according to officials .",5,There was a bomb in an ambulance. It exploded at a police station .,There was a bomb in an ambulance that exploded at a police stop .,There was a bomb in an ambulance that exploded at a police checkpoint .,3,3,3
Gaia is the personification of the Earth and these are her offspring as related in various myths .,5,Gaia is a goddess . She looks after the Earth . She also has children .,Gaia is another name for the Earth . People call her the mother of all living things because she has children in many myths .,"Gaia is the goddess of the Earth . In myths , she has children who are also gods .",3,3,3
Some psychologists suggest irregularities of the English names of numerals may hinder children 's counting ability .,5,Counting can be difficult for kids with irregular numbers .,Some experts think that the way we write numbers can make it difficult for children to learn counting .,Some psychologists think that irregularities in English number names can make it harder for children to count .,3,3,4
The electron transport chain consists of a spatially separated series of redox reactions in which electrons are transferred from a donor molecule to an acceptor molecule .,5,Cells do chemical things .Electrons move from one molecule to another .,We have a process called the electron transport chain that helps move energy through our bodies .,The electron transport chain is a series of chemical reactions where electrons are passed from one molecule to another .,3,3,4
Some types of chemotherapy are gonadotoxic and may cause infertility .,5,"Chemotherapy can make it difficult for some people to have children .(Note: The word ""infertility"" is replaced with ""make it difficult for some people to have children"" which conveys the same meaning but uses simpler vocabulary.)",Chemotherapy can sometimes make people infertile .,Some types of chemotherapy can damage your reproductive organs and make you infertile .,5,5,5
The parathyroid glands are two pairs of glands usually positioned behind the left and right lobes of the thyroid .,5,There are four small glands near the thyroid gland .,There are four small glands near the thyroid gland.,There are four small glands located behind the thyroid gland .,5,5,4
"s of 2019 these are the only known Fermat primes , and conjecturally the only Fermat primes .",5,There are only four special numbers . We call them Fermat primes .,There is only one other number like this. We think it is the only one .,"There are only two known Fermat primes , and we think they are the only ones .(Fermat prime is a prime number that can be written as 2^n+1 for some non-negative integer n.)",3,2,4
STM is based on the concept of quantum tunneling .,5,Small things can go through solid things .,We use STM to see tiny things .,STM is a method that uses tiny particles to look at surfaces.,3,2,3
The contemporary priesthood can trace its immediate origins to the first half of the 19th century .,5,Priests have their roots in the 19th century .,Priests appeared in the early 19th century .,Today's priests have their roots in the early 19th century .,2,2,3
"Each V1 sends information to two primary pathways , called the ventral stream and the dorsal stream .",5,There are two ways that our brains process information .,V1 sends information to two important paths .One path helps us see things .The other path helps us move our bodies .,Each visual pathway sends information to two main parts .These are the ventral stream and the dorsal stream .,3,3,4
"Bibliomania is not to be confused with bibliophilia , which is the usual love of books and is not considered a clinical psychological disorder .",5,Some people like collecting books .,Some people like books too much and it's a problem.,Some people love books too much . They have a problem called bibliomania . It 's different from just loving books .,2,2,4
"As the killer 's epithet implies , the victims usually were attacked with an axe , which often belonged to the victims themselves .",5,Some people died with an axe .They usually had the axe at home .,People were often killed with their own tools .,Most victims were attacked with an axe that they owned themselves .,3,2,3
"Although it is toxic in large doses , selenium is an essential micronutrient for animals .",5,"Selenium is good for animals , but too much can be bad .","Selenium is good for animals , but too much is not good for them .","Selenium is a vital nutrient for animals . However , too much of it is poisonous .",3,3,4
Gummatous syphilis can happen anywhere from one to 46 years after the person first got syphilis .,5,Syphilis can come back many years later .,You can get syphilis again years later.,Syphilis can come back many years after you get it .,4,4,3
"A bloomery consists of a pit or chimney with heat - resistant walls made of earth , clay , or stone .",5,You can find a bloomery in a hole or a chimney made of strong things like clay or stone .,You can find a furnace in a hole or a chimney made of clay or stone .,"A bloomery has a pit or chimney with strong walls made of earth , clay or stone . ( compression )",4,3,4
The constitutional court said the congressional resolution to be anti-constitutional and rejected it .,5,The court doesn't like the law .,"The constitutional court said the new law was against the rules and did not allow it . (Here, I have replaced the word “constitution” with “rules”, which is a more familiar concept for A2 level learners.)",The constitutional court said the law was against the constitution and refused to approve it .,2,4,4
Coagulation is highly conserved throughout biology .,5,"Some animals have a special trick to stop bleeding fast . (replaced 'way' with 'trick', deleted 'quickly')",Many animals have the same way of stopping bleeding .,Many living things have coagulation .,4,3,4
"The electronvolt is often used in atomic , nuclear and particle physics .",5,Atoms have tiny particles called electrons .,Electronvolts are used in science to study tiny things like atoms .,"In atomic , nuclear and particle physics , we use the electronvolt .",3,4,5
Homosociality is a term sometimes used in discussions of the all-male world of knightly life in medieval culture .,5,Men used to have friends who were also men .,Knights lived in a world for men only .,"In medieval times , knights lived in a male-only world .",2,2,3
One major function of chaperones is to prevent polypeptide chains and assembled subunits sticking together in clumps which do not function .,5,Chaperones keep proteins separate .,Chaperones keep proteins from sticking together wrongly.,Chaperones help stop protein chains from sticking together incorrectly .,4,4,4
"In digital puppetry , machinima creators become virtual actors .",5,You can be a virtual actor using digital puppets .(or),People play characters using computer games .,They act out characters in video games using computers .( Original sentence rewritten in a more straightforward way),3,2,4
Thioethers are important in biology .,5,Thioethers are important in biology .,Thioethers are used in science .,Thioethers are very important in biology . or Thioethers are used in biology .,4,3,5
Stereochemistry was important in solving the thalidomide disaster in the 1960s .,5,Stereochemistry solved a big problem in the 1960s called thalidomide .,"In the 1960s , scientists found a solution to the thalidomide problem using stereochemistry .","In the 1960s , stereochemistry helped solve the thalidomide problem .",5,5,5
"Because the brain can shift slightly during surgery , the electrodes can become displaced or dislodged from the specific location .",5,Wires can come out of the right place in the brain during an operation.,"Sometimes , the electrodes move during surgery because the brain moves a little bit .","During surgery , the electrodes can move and lose their correct position . This happens because the brain moves slightly during the operation .",3,3,3
"Leopoldo Alas remains a rather enigmatic figure in the Spanish literary world , leaving a legacy that encouraged the search for God and humanism simultaneously .",5,Leopoldo Alas is a hard writer to read . He wanted people to be good and love each other .,Leopoldo Alas was a Spanish writer . He believed that we should look for God and treat others kindly .,Leopoldo Alas is a mysterious writer from Spain . He wrote about God and being a good person at the same time .,3,3,4
Scratch and sniff is created through the process of micro-encapsulation .,5,Some toys have little balls that come out when you touch them .,Some toys smell nice when you scratch them . (compression),Scratch and sniff products use tiny capsules that burst when you scratch them .,3,3,4
Cognitive dissonance theory proposes that people seek psychological consistency between their expectations of life and the existential reality of the world .,5,We compare our ideas with real things to learn more about the world . (This is a rewritten version of the complex sentence using simpler vocabulary and sentence structure.),Most people want their thoughts and the world to match .,People want to feel that their views and the world match each other .,4,2,3
About half of the polyvinyl chloride resin manufactured each year is used to make pipes .,5,We use plastic pipes made from PVC .,Many plastic pipes are made from PVC .,Half of the plastic used to make pipes is made from PVC .,3,3,3
"Duroplast is light , flexible , and strong .",5,Duroplast is a strong material that is easy to handle and bend .,Duroplast is strong and easy to bend .,"Duroplast is a strong , flexible material that is also very light .",4,4,4
"A duchy is the territory or geopolitical entity ruled by a duke , whereas his title or area is often called a dukedom .",5,There is a man called a duke . He rules a place . The place is called a dukedom .,There is a man called a duke who has power over an area .,A duke is the ruler of an area called a dukedom .The duchy is the name of the area he rules.,3,3,4
The function or use of the dodecahedra remains a mystery ; no mention of them has been found in texts or pictures of the time .,5,We don't know why people made special shapes called dodecahedra .We have no old pictures or writing that show them . Rewrite the complex sentence in order to make it easier to understand by A1 CEFR level language learners. We don't know why people made special shapes called dodecahedra .We have no old pictures or writing that show them . ## Step 1: Identify the main idea of the complex sentence.,We don't know what the dodecahedra were used for . They are not mentioned in old books or images .,We don't know what the dodecahedra were used for . There is no record of them in old books or pictures .,4,4,3
"Many of the physical properties of alkenes and alkanes are similar : they are colorless , nonpolar , and combustable .",5,Alkenes and alkanes look the same . They are both colourless and burn easily .,Alkenes and alkanes look the same . They are clear liquids that can burn easily .,"Alkenes and alkanes share many physical properties . They are colourless , not polar and burn easily .",4,4,5
